song_id,song,singer,album
167876,有何不可,许嵩,《自定义》
167655,幻听,许嵩,《梦游计》
167827,素颜,许嵩,《素颜》
167850,庐州月,许嵩,《寻雾启示》
167844,灰色头像,许嵩,《寻雾启示》
27646687,玫瑰花的葬礼,许嵩,《许嵩单曲集》
167937,断桥残雪,许嵩,《断桥残雪》
28854182,惊鸿一面,许嵩,《不如吃茶去》
411214279,雅俗共赏,许嵩,《青年晚报》
167882,清明雨上,许嵩,《自定义》
428095913,江湖 ,许嵩,《江湖》
167712,拆东墙,许嵩,《苏格拉没有底》
167870,如果当时,许嵩,《自定义》
569213279,大千世界,许嵩,《寻宝游戏》
167903,我想牵着你的手,许嵩,《我想牵着你的手》
167732,千百度,许嵩,《苏格拉没有底》
167873,多余的解释,许嵩,《自定义》
167691,天龙八部之宿敌,许嵩,《天龙八部之宿敌》
5255987,你若成风,许嵩,《乐酷》
167709,河山大好,许嵩,《苏格拉没有底》
167891,内线,许嵩,《自定义》
167705,想象之中,许嵩,《苏格拉没有底》
167679,全球变冷,许嵩,《梦游计》
34040693,千古,许嵩,《千古》
167888,认错,许嵩,《自定义》
862099032,明智之举,许嵩,《寻宝游戏》
167894,星座书上,许嵩,《自定义》
27612225,违章动物,许嵩,《违章动物》
167885,城府,许嵩,《自定义》
167929,你若成风,许嵩,《许嵩单曲集》
